registration,manufacturerSerial,lineNumber,family,familyCode,model,status,deliveryDateText,sourceUrl
N415DX,1997,,Airbus A330,a330,330-941N,Active,27/10/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N416DX,1999,,Airbus A330,a330,330-941N,Active,31/03/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N417DX,2000,,Airbus A330,a330,330-941N,Active,11/03/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N418DX,2010,,Airbus A330,a330,330-941N,Active,29/04/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N419DX,2014,,Airbus A330,a330,330-941N,Active,30/08/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N420DX,2021,,Airbus A330,a330,330-941N,Active,21/12/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N421DX,2028,,Airbus A330,a330,330-941N,Active,10/03/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N422DZ,2031,,Airbus A330,a330,330-941N,Active,12/05/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N423DX,2032,,Airbus A330,a330,330-941N,Active,29/07/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N424DX,2034,,Airbus A330,a330,330-941N,Active,16/11/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N425DX,2037,,Airbus A330,a330,330-941N,Active,02/11/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N426DZ,2045,,Airbus A330,a330,330-941N,Active,01/01/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N427DX,2048,,Airbus A330,a330,330-941N,Active,04/01/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N428DX,2064,,Airbus A330,a330,330-941N,Active,05/07/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-35.htm
N429DX,2067,,Airbus A330,a330,330-941N,Active,02/08/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-70.htm
N430DX,2069,,Airbus A330,a330,330-941N,Active,04/09/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-70.htm
N431DX,2073,,Airbus A330,a330,330-941N,Active,01/11/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-70.htm
N432DX,2076,,Airbus A330,a330,330-941N,Active,22/02/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-70.htm
N433DX,2082,,Airbus A330,a330,330-941N,Active,31/12/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-70.htm
N434DX,2089,,Airbus A330,a330,330-941N,Active,11/05/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-70.htm
N435DX,2090,,Airbus A330,a330,330-941N,Active,30/05/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-70.htm
N436DX,2094,,Airbus A330,a330,330-941N,Active,21/05/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-70.htm
N437DX,2100,,Airbus A330,a330,330-941N,Active,25/09/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-70.htm
N438DX,2101,,Airbus A330,a330,330-941N,Active,02/08/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-70.htm
N439DX,2105,,Airbus A330,a330,330-941N,Active,20/09/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a330-70.htm
N501DA,10437,,Airbus A321,a321,321-271NX,Active,23/03/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N501DN,115,,Airbus A350,a350,350-941,Active,11/07/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N502DN,135,,Airbus A350,a350,350-941,Active,08/08/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N502DX,10467,,Airbus A321,a321,321-271NX,Active,14/04/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N503DN,149,,Airbus A350,a350,350-941,Active,01/11/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N503DZ,10974,,Airbus A321,a321,321-271NX,Active,01/06/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N504DN,160,,Airbus A350,a350,350-941,Active,28/11/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N504DZ,10884,,Airbus A321,a321,321-271NX,Active,22/07/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N505DN,164,,Airbus A350,a350,350-941,Active,12/12/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N505DZ,10935,,Airbus A321,a321,321-271NX,Active,21/09/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N506DA,11036,,Airbus A321,a321,321-271NX,Active,18/11/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N506DN,175,,Airbus A350,a350,350-941,Active,22/12/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N507DN,182,,Airbus A350,a350,350-941,Active,21/02/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N507DZ,10975,,Airbus A321,a321,321-271NX,Active,13/10/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N508DA,10898,,Airbus A321,a321,321-271NX,Active,20/09/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N508DN,190,,Airbus A350,a350,350-941,Active,06/03/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N509DN,199,,Airbus A350,a350,350-941,Active,13/04/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N509DT,10958,,Airbus A321,a321,321-271NX,Active,29/10/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N510DE,10828,,Airbus A321,a321,321-271NX,Active,29/07/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N510DN,204,,Airbus A350,a350,350-941,Active,25/05/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N511DE,10979,,Airbus A321,a321,321-271NX,Active,26/08/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N511DN,210,,Airbus A350,a350,350-941,Active,14/06/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N512DE,11069,,Airbus A321,a321,321-271NX,Active,21/12/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N512DN,267,,Airbus A350,a350,350-941,Active,26/01/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N513DA,10998,,Airbus A321,a321,321-271NX,Active,13/10/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N513DZ,277,,Airbus A350,a350,350-941,Active,01/03/2019,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N514DE,11126,,Airbus A321,a321,321-271NX,Active,23/12/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N514DN,395,,Airbus A350,a350,350-941,Active,16/09/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N515DE,11141,,Airbus A321,a321,321-271NX,Active,30/12/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N515DN,404,,Airbus A350,a350,350-941,Active,16/09/2020,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N516DA,11004,,Airbus A321,a321,321-271NX,Active,21/10/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-105.htm
N516DN,530,,Airbus A350,a350,350-941,Active,26/01/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N517DN,11078,,Airbus A321,a321,321-271NX,Active,01/11/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N517DZ,545,,Airbus A350,a350,350-941,Active,01/02/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N518DQ,11122,,Airbus A321,a321,321-271NX,Active,31/12/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N518DZ,580,,Airbus A350,a350,350-941,Active,22/11/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N519DN,588,,Airbus A350,a350,350-941,Active,16/12/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N519DT,11198,,Airbus A321,a321,321-271NX,Active,23/02/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N520DE,11176,,Airbus A321,a321,321-271NX,Active,01/03/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N520DN,654,,Airbus A350,a350,350-941,Active,04/04/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N521DN,661,,Airbus A350,a350,350-941,Active,03/05/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N521DT,11082,,Airbus A321,a321,321-271NX,Active,16/11/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N522DA,11154,,Airbus A321,a321,321-271NX,Active,15/12/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N522DZ,673,,Airbus A350,a350,350-941,Active,25/07/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N523DE,11236,,Airbus A321,a321,321-271NX,Active,05/05/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N523DN,677,,Airbus A350,a350,350-941,Active,27/07/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N524DE,11207,,Airbus A321,a321,321-271NX,Active,01/06/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N524DN,680,,Airbus A350,a350,350-941,Active,07/09/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N525DA,11246,,Airbus A321,a321,321-271NX,Active,21/07/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N525DN,687,,Airbus A350,a350,350-941,Active,23/11/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N526DE,11174,,Airbus A321,a321,321-271NX,Active,22/12/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N526DN,709,,Airbus A350,a350,350-941,Active,19/12/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N527DE,11272,,Airbus A321,a321,321-271NX,Active,21/07/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N527DN,720,,Airbus A350,a350,350-941,Active,28/03/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350-35.htm
N528DE,11248,,Airbus A321,a321,321-271NX,Active,01/03/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N528DN,722,,Airbus A350,a350,350-941,Active,03/05/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350-35.htm
N529DN,735,,Airbus A350,a350,350-941,Active,26/06/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350-35.htm
N529DT,11277,,Airbus A321,a321,321-271NX,Active,12/04/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N530DE,11245,,Airbus A321,a321,321-271NX,Active,09/02/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N530DN,747,,Airbus A350,a350,350-941,Active,15/11/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350-35.htm
N531DA,11329,,Airbus A321,a321,321-271NX,Active,28/04/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N531DN,755,,Airbus A350,a350,350-941,Active,17/12/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350-35.htm
N532DN,11279,,Airbus A321,a321,321-271NX,Active,28/04/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N532DZ,783,,Airbus A350,a350,350-941,Active,16/05/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350-35.htm
N533DT,11362,,Airbus A321,a321,321-271NX,Active,01/09/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N534DT,11357,,Airbus A321,a321,321-271NX,Active,17/05/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N535DN,11424,,Airbus A321,a321,321-271NX,Active,21/06/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N536DN,11426,,Airbus A321,a321,321-271NX,Active,15/06/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N537DT,11434,,Airbus A321,a321,321-271NX,Active,14/06/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N538DN,11436,,Airbus A321,a321,321-271NX,Active,23/06/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N539DN,11479,,Airbus A321,a321,321-271NX,Active,28/07/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N540DE,11475,,Airbus A321,a321,321-271NX,Active,07/12/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N541DE,11481,,Airbus A321,a321,321-271NX,Active,28/07/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N542DE,11510,,Airbus A321,a321,321-271NX,Active,09/08/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N543DE,11553,,Airbus A321,a321,321-271NX,Active,07/09/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N544DN,11607,,Airbus A321,a321,321-271NX,Active,19/10/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N544US,26491,710,Boeing 757,b757,757-251,Parked,01/02/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757.htm
N545DE,11644,,Airbus A321,a321,321-271NX,Active,15/11/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N546DN,11692,,Airbus A321,a321,321-271NX,Active,08/11/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N547DE,11595,,Airbus A321,a321,321-271NX,Active,30/03/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N548DN,11620,,Airbus A321,a321,321-271NX,Active,18/01/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N549DN,11693,,Airbus A321,a321,321-271NX,Active,08/12/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N550DN,11734,,Airbus A321,a321,321-271NX,Active,20/12/2023,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N550NW,26497,968,Boeing 757,b757,757-251,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757.htm
N551DT,11523,,Airbus A321,a321,321-271NX,Active,23/10/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-140.htm
N551NW,26498,971,Boeing 757,b757,757-251,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757.htm
N552DT,11874,,Airbus A321,a321,321-271NX,Active,20/11/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N552NW,26499,975,Boeing 757,b757,757-251,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757.htm
N553DT,12122,,Airbus A321,a321,321-271NX,Active,31/03/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N553NW,26500,982,Boeing 757,b757,757-251,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757.htm
N554DT,12142,,Airbus A321,a321,321-271NX,Active,03/07/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N554NW,26501,987,Boeing 757,b757,757-251,Active,10/04/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757.htm
N555DE,11947,,Airbus A321,a321,321-271NX,Active,25/06/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N555NW,33391,1011,Boeing 757,b757,757-251,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N556DT,12099,,Airbus A321,a321,321-271NX,Active,01/11/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N556NW,33392,1013,Boeing 757,b757,757-251,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N557DN,12336,,Airbus A321,a321,321-271NX,Active,05/05/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N557NW,33393,1016,Boeing 757,b757,757-251,Active,20/02/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N568DZ,24,,Airbus A350,a350,350-941,Active,01/07/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N569DZ,27,,Airbus A350,a350,350-941,Active,15/09/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N570DZ,48,,Airbus A350,a350,350-941,Active,20/09/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N571DZ,64,,Airbus A350,a350,350-941,Active,09/07/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N572DT,11841,,Airbus A321,a321,321-271NX,Active,11/04/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N572DZ,200,,Airbus A350,a350,350-941,Active,17/09/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N573DT,11787,,Airbus A321,a321,321-271NX,Active,19/01/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N573DZ,250,,Airbus A350,a350,350-941,Active,12/10/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N574DT,11718,,Airbus A321,a321,321-271NX,Active,28/02/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N574DZ,265,,Airbus A350,a350,350-941,Active,01/08/2021,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N575DN,11717,,Airbus A321,a321,321-271NX,Active,28/02/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N575DZ,282,,Airbus A350,a350,350-941,Active,11/02/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N576DN,11899,,Airbus A321,a321,321-271NX,Active,27/03/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N576DZ,313,,Airbus A350,a350,350-941,Active,18/07/2022,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a350.htm
N577DN,11782,,Airbus A321,a321,321-271NX,Active,02/05/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N578DN,11812,,Airbus A321,a321,321-271NX,Active,02/05/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N579DT,11906,,Airbus A321,a321,321-271NX,Active,31/05/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N580DT,11819,,Airbus A321,a321,321-271NX,Active,26/04/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N581DA,11884,,Airbus A321,a321,321-271NX,Active,25/05/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N581NW,32982,1001,Boeing 757,b757,757-351,Active,30/08/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-35.htm
N582DN,12004,,Airbus A321,a321,321-271NX,Active,28/06/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N582NW,32981,1014,Boeing 757,b757,757-351,Active,05/10/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-35.htm
N583DT,12051,,Airbus A321,a321,321-271NX,Active,20/08/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N583NW,32983,1019,Boeing 757,b757,757-351,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-35.htm
N584DN,12042,,Airbus A321,a321,321-271NX,Active,18/09/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N584NW,32984,1020,Boeing 757,b757,757-351,Active,01/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-35.htm
N585DN,12105,,Airbus A321,a321,321-271NX,Active,11/09/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N585NW,32985,1021,Boeing 757,b757,757-351,Active,13/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N586DT,12177,,Airbus A321,a321,321-271NX,Active,16/10/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N586NW,32987,1022,Boeing 757,b757,757-351,Active,15/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N587DT,12109,,Airbus A321,a321,321-271NX,Active,19/12/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N587NW,32986,1023,Boeing 757,b757,757-351,Active,06/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N588DT,12063,,Airbus A321,a321,321-271NX,Active,26/10/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N588NW,32988,1024,Boeing 757,b757,757-351,Active,11/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N589DT,12417,,Airbus A321,a321,321-271NX,Active,01/03/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N589NW,32989,1025,Boeing 757,b757,757-351,Active,01/01/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N590DT,12337,,Airbus A321,a321,321-271NX,Active,18/07/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N590NW,32990,1027,Boeing 757,b757,757-351,Active,15/04/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N591DT,12442,,Airbus A321,a321,321-271NX,Active,01/03/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N591NW,32991,1030,Boeing 757,b757,757-351,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N592DT,12422,,Airbus A321,a321,321-271NX,Active,29/03/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N592NW,32992,1033,Boeing 757,b757,757-351,Active,01/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N593DX,12459,,Airbus A321,a321,321-271NX,Active,16/05/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N593NW,32993,1034,Boeing 757,b757,757-351,Active,20/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N594DA,12482,,Airbus A321,a321,321-271NX,Active,20/08/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N594NW,32994,1035,Boeing 757,b757,757-351,Active,15/05/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N595DT,12526,,Airbus A321,a321,321-271NX,Active,26/06/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N595NW,32995,1036,Boeing 757,b757,757-351,Active,24/09/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N596DT,12595,,Airbus A321,a321,321-271NX,Active,01/10/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N596NW,32996,1037,Boeing 757,b757,757-351,Active,29/09/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b757-70.htm
N597DT,12650,,Airbus A321,a321,321-271NX,Active,20/09/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-175.htm
N598DN,12666,,Airbus A321,a321,321-271NX,Active,04/09/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N599DA,12724,,Airbus A321,a321,321-271NX,Active,22/08/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N600DZ,12694,,Airbus A321,a321,321-271NX,Active,10/09/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N601DT,12769,,Airbus A321,a321,321-271NX,Active,10/12/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N602DZ,12758,,Airbus A321,a321,321-271NX,Active,28/02/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N603AT,55127,5074,Boeing 717,b717,717-22A,Active,06/09/2014,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b717-35.htm
N603DN,12830,,Airbus A321,a321,321-271NX,Active,23/12/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N604DN,12897,,Airbus A321,a321,321-271NX,Active,06/02/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N605DN,12973,,Airbus A321,a321,321-271NX,Active,21/02/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N606DN,12960,,Airbus A321,a321,321-271NX,Active,23/02/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N607AT,55074,5030,Boeing 717,b717,717-231,Active,21/12/2014,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b717-35.htm
N607DN,13019,,Airbus A321,a321,321-271NX,Active,26/02/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N608AT,55081,5045,Boeing 717,b717,717-231,Active,02/07/2015,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-b717-35.htm
N608DN,13059,,Airbus A321,a321,321-271NX,Active,25/03/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N609DN,13068,,Airbus A321,a321,321-271NX,Active,13/05/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N611DT,13179,,Airbus A321,a321,321-271NXLR,Active,18/05/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
N612DN,13166,,Airbus A321,a321,321-271NX,Active,23/04/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-210.htm
