registration,manufacturerSerial,lineNumber,family,familyCode,model,status,deliveryDateText,sourceUrl
N324NB,1456,,Airbus A319,a319,319-114,Active,10/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N325DN,7709,,Airbus A321,a321,321-211,Active,11/08/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N325DU,55272,,Airbus A220,csr,220-371,Active,18/04/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-35.htm
N325NB,1483,,Airbus A319,a319,319-114,Active,15/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N325US,281,,Airbus A320,a320,320-211,Active,20/06/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N326DN,7845,,Airbus A321,a321,321-211,Active,23/09/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N326DU,55297,,Airbus A220,csr,220-371,Active,30/10/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N326NB,1498,,Airbus A319,a319,319-114,Active,15/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N327DN,7777,,Airbus A321,a321,321-211,Active,02/10/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N327DU,55307,,Airbus A220,csr,220-371,Active,13/11/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N327NB,1501,,Airbus A319,a319,319-114,Active,06/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N328DN,7840,,Airbus A321,a321,321-211,Active,01/11/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N328DU,55279,,Airbus A220,csr,220-371,Active,23/05/2024,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N328NB,1520,,Airbus A319,a319,319-114,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N328NW,298,,Airbus A320,a320,320-211,Parked,15/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N329DN,7885,,Airbus A321,a321,321-211,Active,27/11/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N329DU,55328,,Airbus A220,csr,220-371,Active,22/04/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N329NB,1543,,Airbus A319,a319,319-114,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N329NW,306,,Airbus A320,a320,320-211,Active,25/06/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N330DU,55331,,Airbus A220,csr,220-371,Active,30/01/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N330DX,7896,,Airbus A321,a321,321-211,Active,06/12/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N330NB,1549,,Airbus A319,a319,319-114,Active,02/08/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N331DN,7943,,Airbus A321,a321,321-211,Active,15/12/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N331DU,55336,,Airbus A220,csr,220-371,Active,20/03/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N331NB,1567,,Airbus A319,a319,319-114,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N332DN,7973,,Airbus A321,a321,321-213,Active,27/12/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N332DU,55337,,Airbus A220,csr,220-371,Active,14/02/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N332NB,1570,,Airbus A319,a319,319-114,Active,06/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N333DU,55349,,Airbus A220,csr,220-371,Active,29/04/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N333DX,8026,,Airbus A321,a321,321-211,Active,21/12/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N333NB,1582,,Airbus A319,a319,319-114,Active,28/09/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N334DN,8040,,Airbus A321,a321,321-211,Active,23/12/2017,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N334DU,55374,,Airbus A220,csr,220-371,Active,12/08/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N334NB,1659,,Airbus A319,a319,319-114,Active,13/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N334NW,339,,Airbus A320,a320,320-212,Active,31/07/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N335DN,8036,,Airbus A321,a321,321-213,Active,01/02/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321.htm
N335DU,55377,,Airbus A220,csr,220-371,Active,23/10/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N335NB,1662,,Airbus A319,a319,319-114,Active,01/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N335NW,340,,Airbus A320,a320,320-212,Active,01/07/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N336DU,55364,,Airbus A220,csr,220-371,Active,23/10/2025,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N336DX,8063,,Airbus A321,a321,321-211,Active,20/02/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N336NB,1683,,Airbus A319,a319,319-114,Active,01/02/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N336NW,355,,Airbus A320,a320,320-212,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N337DN,8080,,Airbus A321,a321,321-211,Active,27/02/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N337DU,55411,,Airbus A220,csr,220-371,Active,12/02/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N337NB,1685,,Airbus A319,a319,319-114,Active,15/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N338DN,8078,,Airbus A321,a321,321-211,Active,14/02/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N338DU,55414,,Airbus A220,csr,220-371,Active,05/03/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N338NB,1693,,Airbus A319,a319,319-114,Active,26/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N339DN,8128,,Airbus A321,a321,321-211,Active,06/03/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N339DU,55429,,Airbus A220,csr,220-371,Active,14/05/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N339NB,1709,,Airbus A319,a319,319-114,Active,26/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N340DN,8180,,Airbus A321,a321,321-211,Active,09/03/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N340DU,55437,,Airbus A220,csr,220-371,Active,03/06/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N340NB,1714,,Airbus A319,a319,319-114,Active,22/11/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N340NW,372,,Airbus A320,a320,320-212,Active,20/01/2010,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N341DN,8134,,Airbus A321,a321,321-211,Active,16/03/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
N341DU,55439,,Airbus A220,csr,220-371,Active,01/05/2026,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-csr-70.htm
N341NB,1738,,Airbus A319,a319,319-114,Active,30/08/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a319.htm
N341NW,380,,Airbus A320,a320,320-212,Active,26/12/2009,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a320.htm
N342DN,8159,,Airbus A321,a321,321-211,Active,07/03/2018,https://www.airfleets.net/flottecie/Delta%20Air%20Lines-active-a321-35.htm
